item_id,item_name,price
103691,百優精純乳霜-75ml,3300
101185,超持妝柔焦隱形露,1150
074205,SKⅡ青春精華露,4600
024950,SK-II 青春精華露 30ml,4600
099699,雅詩蘭黛 特潤超導全方位修護露-50ml,3950
012272,粉保濕訂製粉底精,2100
096333,大容量茉莉淨妝油,2800
055835,SK-II青春露,6250
003559,迪奧精萃再生微導,7700
077062,瑞穗牧場農民鮮奶,84
105871,乳球燒果子,82
036060,TABASCO紅椒汁60ml,98
011463,Aime法式生乳優格(芒果)140g,32
041984,光泉香濃牛奶優酪乳200ml,24
025076,北日本迷你蝦餅,42
074574,北日本濃湯洋芋片,42
028007,達樂美水蜜桃果凍杯230g,68
016868,停車費,270
014016,時空琉璃極上御藏,4800
063723,光泉無加糖濃豆漿375ml,16
099469,光泉無糖豆漿400ml,15
032473,光泉鮮乳290ml,27
025000,迪奧超完美柔霧光,1550
101697,女鞋Women's Shoes,2780
096054,蕾黛絲,5290
102291,佳德鳳梨酥禮盒12入,215
072211,JOY by D,2570
003592,癮誘超模淡香水,3650
015401,粉持久完美持妝粉,1980
001896,粉嫩慾望全效修護,1200
076803,粉嫩慾望潤色護唇膏,1200
067444,粉嫩慾望潤色護唇,1200
082645,Miss Dio,3500
017052,三幸美稻之里米果270g,188
073177,三幸杏仁起士米果,114
023218,Ora2淨白無瑕牙刷-軟性毛,108
082883,高野極小粒三付納豆170g,114
049954,三幸北海道蛋黃雪宿米果112g,114
077111,旅行Travel,3480
035801,服務性業態Service Business,3450
017367,光泉花生米漿450ML,14
085177,孕婦、嬰兒用品Maternity ＆ Baby Goods,2139
074492,克萊亞,12960
077224,絕對完美黃金玫瑰,10000
093398,男士雜貨配件Men＇s Accessories,3710
093843,花漾迪奧淡香水-100ml,4800
091102,花漾迪奧淡香水-30ml,2300
072946,迪奧超完美持久柔,2350
066176,業外收入.停車場-新光三越-停車場收入,225
089554,迪奧藍星唇膏 #,1400
085620,迪奧癮誘粉漾潤唇,1250
093847,迪奧癮誘粉漾潤唇膏-#012,1250
076040,怡麗絲爾淨白柔膚,1200
069587,全家卸妝用這組,2000
